Entity,Code,Year,Voter turnout of registered voters,World regions according to OWID
Ireland,IRL,1965,75.14,
Ireland,IRL,1966,65.35,
Ireland,IRL,1969,76.93,
Ireland,IRL,1973,76.61,
Ireland,IRL,1977,76.31,
Ireland,IRL,1981,76.22,
Ireland,IRL,1982,73.8,
Ireland,IRL,1987,73.33,
Ireland,IRL,1989,68.51,
Ireland,IRL,1990,64.1,
Ireland,IRL,1992,68.49,
Ireland,IRL,1997,65.92,
Ireland,IRL,2002,62.57,
Ireland,IRL,2007,67.03,
Ireland,IRL,2011,70.05,
Ireland,IRL,2016,65.05,
Ireland,IRL,2018,43.87,
Ireland,IRL,2020,62.77,
Ireland,IRL,2024,59.7,
Ireland,IRL,2023,,Europe
Isle of Man,IMN,2023,,Europe
Israel,ISR,1949,86.89,
Israel,ISR,1951,75.15,
Israel,ISR,1955,82.83,
Israel,ISR,1959,81.6,
Israel,ISR,1961,81.34,
Israel,ISR,1965,85.86,
Israel,ISR,1969,81.2,
Israel,ISR,1973,78.58,
Israel,ISR,1977,79.23,
Israel,ISR,1981,78.5,
Israel,ISR,1984,78.78,
Israel,ISR,1988,79.66,
Israel,ISR,1992,77.38,
Israel,ISR,1996,79.3,
Israel,ISR,2001,62.29,
Israel,ISR,2003,67.81,
Israel,ISR,2006,63.55,
Israel,ISR,2009,64.72,
Israel,ISR,2013,67.77,
Israel,ISR,2015,72.34,
Israel,ISR,2019,71.65,
Israel,ISR,2020,71.52,
Israel,ISR,2021,67.44,
Israel,ISR,2022,70.63,
Israel,ISR,2023,,Asia
Italy,ITA,1848,64.68,
Italy,ITA,1849,65.93,
Italy,ITA,1853,59.99,
Italy,ITA,1857,64.72,
Italy,ITA,1860,53.47,
Italy,ITA,1865,53.9,
Italy,ITA,1867,54.8,
Italy,ITA,1870,45.5,
Italy,ITA,1874,55.7,
Italy,ITA,1876,59.2,
Italy,ITA,1880,59.4,
Italy,ITA,1882,60.7,
Italy,ITA,1886,58.5,
Italy,ITA,1890,53.7,
Italy,ITA,1892,55.9,
Italy,ITA,1895,59.3,
Italy,ITA,1897,58.5,
Italy,ITA,1900,58.3,
Italy,ITA,1904,62.7,
Italy,ITA,1909,65,
Italy,ITA,1913,60.4,
Italy,ITA,1919,56.6,
Italy,ITA,1921,58.4,
Italy,ITA,1924,63.8,
Italy,ITA,1929,89.86,
Italy,ITA,1934,95.59,
Italy,ITA,1946,89.08,
Italy,ITA,1948,92.23,
Italy,ITA,1953,93.87,
Italy,ITA,1958,93.72,
Italy,ITA,1963,92.88,
Italy,ITA,1968,92.79,
Italy,ITA,1972,93.18,
Italy,ITA,1976,93.37,
Italy,ITA,1979,90.35,
Italy,ITA,1983,89.02,
Italy,ITA,1987,88.86,
Italy,ITA,1992,87.44,
Italy,ITA,1994,86.14,
Italy,ITA,1996,82.91,
Italy,ITA,2001,81.44,
Italy,ITA,2006,83.62,
Italy,ITA,2008,80.54,
Italy,ITA,2013,75.19,
Italy,ITA,2018,72.93,
Italy,ITA,2022,63.79,
Italy,ITA,2023,,Europe
Jamaica,JAM,1944,58.7,
Jamaica,JAM,1949,65.16,
Jamaica,JAM,1955,65.12,
Jamaica,JAM,1959,66.07,
Jamaica,JAM,1962,72.88,
Jamaica,JAM,1967,82.24,
Jamaica,JAM,1972,78.88,
Jamaica,JAM,1976,85.21,
Jamaica,JAM,1980,86.91,
Jamaica,JAM,1983,2.73,
Jamaica,JAM,1989,78.38,
Jamaica,JAM,1993,67.68,
Jamaica,JAM,1997,65.42,
Jamaica,JAM,2002,59.06,
Jamaica,JAM,2007,60.4,
Jamaica,JAM,2011,53.17,
Jamaica,JAM,2016,47.72,
Jamaica,JAM,2020,37.36,
Jamaica,JAM,2023,,North America
Japan,JPN,1890,93.73,
Japan,JPN,1892,91.59,
Japan,JPN,1894,88.76,
Japan,JPN,1898,87.5,
Japan,JPN,1902,88.4,
Japan,JPN,1903,86.2,
Japan,JPN,1904,86.1,
Japan,JPN,1908,85.3,
Japan,JPN,1912,89.6,
Japan,JPN,1920,86.7,
Japan,JPN,1924,91.2,
Japan,JPN,1928,80.3,
Japan,JPN,1930,83.34,
Japan,JPN,1932,81.67,
Japan,JPN,1936,78.6,
Japan,JPN,1937,73.3,
Japan,JPN,1946,72.08,
Japan,JPN,1947,67.95,
Japan,JPN,1949,74.04,
Japan,JPN,1952,76.43,
Japan,JPN,1953,74.21,
Japan,JPN,1955,75.83,
Japan,JPN,1958,76.98,
Japan,JPN,1960,73.5,
Japan,JPN,1963,71.14,
Japan,JPN,1967,73.98,
Japan,JPN,1969,68.5,
Japan,JPN,1972,71.75,
Japan,JPN,1976,73.44,
Japan,JPN,1979,68,
Japan,JPN,1980,74.56,
Japan,JPN,1983,67.98,
Japan,JPN,1986,63.99,
Japan,JPN,1990,73.31,
Japan,JPN,1993,67.02,
Japan,JPN,1996,59.65,
Japan,JPN,2000,60.62,
Japan,JPN,2003,59.8,
Japan,JPN,2005,67.46,
Japan,JPN,2009,69.27,
Japan,JPN,2012,59.32,
Japan,JPN,2014,52.66,
Japan,JPN,2017,53.68,
Japan,JPN,2021,55.97,
Japan,JPN,2024,53.8,
Japan,JPN,2023,,Asia
Jersey,JEY,2023,,Europe
Jordan,JOR,1967,70,
Jordan,JOR,1989,53.06,
Jordan,JOR,1993,54.77,
Jordan,JOR,1997,47.45,
Jordan,JOR,2003,57.75,
Jordan,JOR,2007,54,
Jordan,JOR,2010,53,
Jordan,JOR,2013,56.45,
Jordan,JOR,2016,36.1,
Jordan,JOR,2020,29.9,
Jordan,JOR,2024,31.25,
Jordan,JOR,2023,,Asia
Kazakhstan,KAZ,1917,48.44,
Kazakhstan,KAZ,1990,84,
Kazakhstan,KAZ,1991,88.2,
Kazakhstan,KAZ,1994,73.52,
Kazakhstan,KAZ,1995,80.73,
Kazakhstan,KAZ,1999,85.77,
Kazakhstan,KAZ,2004,56.49,
Kazakhstan,KAZ,2005,76.78,
Kazakhstan,KAZ,2007,68.41,
Kazakhstan,KAZ,2011,89.99,
Kazakhstan,KAZ,2012,75.44,
Kazakhstan,KAZ,2015,95.21,
Kazakhstan,KAZ,2016,77.1,
Kazakhstan,KAZ,2019,77.54,
Kazakhstan,KAZ,2021,63.25,
Kazakhstan,KAZ,2022,69.44,
Kazakhstan,KAZ,2023,54.15,Asia
Kenya,KEN,1992,66.81,
Kenya,KEN,1997,83.86,
Kenya,KEN,2002,57.18,
Kenya,KEN,2007,69.09,
Kenya,KEN,2013,85.91,
Kenya,KEN,2017,79.49,
Kenya,KEN,2022,64.77,
Kenya,KEN,2023,,Africa
Kingdom of Bavaria,,2023,,Europe
Kingdom of Sardinia,,2023,,Europe
Kingdom of Saxony,,2023,,Europe
Kingdom of Wurttemberg,,2023,,Europe
Kingdom of the Two Sicilies,,2023,,Europe
Kiribati,KIR,2023,,Oceania
Korea (former),OWID_KRU,2023,,Asia
Kosovo,OWID_KOS,2004,49.52,
Kosovo,OWID_KOS,2007,43.23,
Kosovo,OWID_KOS,2010,45.62,
Kosovo,OWID_KOS,2014,42.63,
Kosovo,OWID_KOS,2017,41.3,
Kosovo,OWID_KOS,2019,43.2,
Kosovo,OWID_KOS,2021,48.84,
Kosovo,OWID_KOS,2023,,Europe
Kuwait,KWT,1961,90,
Kuwait,KWT,1963,85,
Kuwait,KWT,1967,65.6,
Kuwait,KWT,1971,51.6,
Kuwait,KWT,1975,58.24,
Kuwait,KWT,1981,90,
Kuwait,KWT,1985,84.59,
Kuwait,KWT,1990,62.3,
Kuwait,KWT,1992,85,
Kuwait,KWT,1996,80,
Kuwait,KWT,1999,83.2,
Kuwait,KWT,2006,91.92,
Kuwait,KWT,2008,59.41,
Kuwait,KWT,2009,59,
Kuwait,KWT,2012,59.53,
Kuwait,KWT,2013,51.9,
Kuwait,KWT,2016,70,
Kuwait,KWT,2020,60,
Kuwait,KWT,2022,50,
Kuwait,KWT,2023,59.27,Asia
Kuwait,KWT,2024,62.1,
Kyrgyzstan,KGZ,1917,48.44,
Kyrgyzstan,KGZ,1990,92,
Kyrgyzstan,KGZ,1991,89,
Kyrgyzstan,KGZ,1995,86.19,
Kyrgyzstan,KGZ,2000,77.26,
Kyrgyzstan,KGZ,2005,74.97,
Kyrgyzstan,KGZ,2007,75.2,
Kyrgyzstan,KGZ,2009,79.2,
Kyrgyzstan,KGZ,2010,56.59,
Kyrgyzstan,KGZ,2011,61.28,
Kyrgyzstan,KGZ,2015,56.62,
Kyrgyzstan,KGZ,2017,56.32,
Kyrgyzstan,KGZ,2020,56.2,
Kyrgyzstan,KGZ,2021,39.16,
Kyrgyzstan,KGZ,2023,,Asia
Laos,LAO,1955,75.6,
Laos,LAO,1958,85.1,
Laos,LAO,1972,67.76,
Laos,LAO,1989,98.4,
Laos,LAO,1992,99.26,
Laos,LAO,1997,99.37,
Laos,LAO,2002,99.9,
Laos,LAO,2006,99.76,
Laos,LAO,2011,99.69,
Laos,LAO,2016,97.94,
Laos,LAO,2021,98.02,
Laos,LAO,2023,,Asia
Latvia,LVA,1917,48.44,
Latvia,LVA,1920,89.1,
Latvia,LVA,1922,83.1,
Latvia,LVA,1925,74.9,
Latvia,LVA,1928,79.3,
Latvia,LVA,1931,80,
Latvia,LVA,1990,81.2,
Latvia,LVA,1993,89.88,
Latvia,LVA,1995,71.9,
Latvia,LVA,1998,70.9,
Latvia,LVA,2002,71.17,
Latvia,LVA,2006,60.98,
Latvia,LVA,2010,64.72,
Latvia,LVA,2011,59.49,
Latvia,LVA,2014,58.8,
Latvia,LVA,2018,54.58,
Latvia,LVA,2022,59.43,
Latvia,LVA,2023,,Europe
Lebanon,LBN,1943,50.9,
Lebanon,LBN,1947,61.5,
Lebanon,LBN,1951,54.7,
Lebanon,LBN,1953,50,
Lebanon,LBN,1957,53.2,
Lebanon,LBN,1960,50.7,
Lebanon,LBN,1964,53,
Lebanon,LBN,1968,49.6,
Lebanon,LBN,1972,54.4,
Lebanon,LBN,1992,30.35,
Lebanon,LBN,1996,43.14,
Lebanon,LBN,2000,44.97,
Lebanon,LBN,2005,46.47,
Lebanon,LBN,2009,53.98,
Lebanon,LBN,2018,49.7,
Lebanon,LBN,2022,49.19,
Lebanon,LBN,2023,,Asia
Lesotho,LSO,1965,62.32,
Lesotho,LSO,1970,81.9,
Lesotho,LSO,1993,72.28,
Lesotho,LSO,1998,71.83,
Lesotho,LSO,2002,66.69,
Lesotho,LSO,2007,49,
Lesotho,LSO,2012,50.04,
Lesotho,LSO,2015,46.61,
Lesotho,LSO,2017,46.37,
Lesotho,LSO,2022,37.44,
Lesotho,LSO,2023,,Africa
Liberia,LBR,1901,46.61,
Liberia,LBR,1975,80,
Liberia,LBR,1997,89,
Liberia,LBR,2005,76.49,
Liberia,LBR,2011,71.64,
Liberia,LBR,2017,75.19,
Liberia,LBR,2023,78.86,Africa
Libya,LBY,2012,61.58,
Libya,LBY,2014,49.7,
Libya,LBY,2023,,Africa
Liechtenstein,LIE,2023,,Europe
Lithuania,LTU,1917,48.44,
Lithuania,LTU,1926,86.4,
Lithuania,LTU,1990,71.72,
Lithuania,LTU,1992,75.22,
Lithuania,LTU,1993,78.62,
Lithuania,LTU,1996,52.95,
Lithuania,LTU,1998,73.66,
Lithuania,LTU,2000,58.18,
Lithuania,LTU,2002,53.92,
Lithuania,LTU,2003,52.65,
Lithuania,LTU,2004,52.46,
Lithuania,LTU,2008,48.59,
Lithuania,LTU,2009,51.76,
Lithuania,LTU,2012,52.93,
Lithuania,LTU,2014,52.14,
Lithuania,LTU,2016,50.6,
Lithuania,LTU,2019,57.37,
Lithuania,LTU,2020,47.8,
Lithuania,LTU,2024,59.95,
Lithuania,LTU,2023,,Europe
Luxembourg,LUX,1919,48.4,
Luxembourg,LUX,1948,91.9,
Luxembourg,LUX,1951,90.78,
Luxembourg,LUX,1954,92.65,
Luxembourg,LUX,1959,92.33,
Luxembourg,LUX,1964,90.57,
Luxembourg,LUX,1968,88.56,
Luxembourg,LUX,1974,90.14,
Luxembourg,LUX,1979,88.85,
Luxembourg,LUX,1984,88.81,
Luxembourg,LUX,1989,87.39,
Luxembourg,LUX,1994,88.3,
Luxembourg,LUX,1999,86.51,
Luxembourg,LUX,2004,91.98,
Luxembourg,LUX,2009,90.63,
Luxembourg,LUX,2013,91.15,
Luxembourg,LUX,2018,89.66,
Luxembourg,LUX,2023,87.18,Europe
Macao,MAC,2023,,Asia
Madagascar,MDG,1965,94.43,
Madagascar,MDG,1970,94.77,
Madagascar,MDG,1982,86.75,
Madagascar,MDG,1983,72.75,
Madagascar,MDG,1989,81.04,
Madagascar,MDG,1992,74.67,
Madagascar,MDG,1993,68.49,
Madagascar,MDG,1996,60.93,
Madagascar,MDG,1998,60.13,
Madagascar,MDG,2001,66.85,
Madagascar,MDG,2002,67.86,
Madagascar,MDG,2006,61.93,
Madagascar,MDG,2013,61.76,
Madagascar,MDG,2018,53.9,
Madagascar,MDG,2019,40,
Madagascar,MDG,2023,46.35,Africa
Madagascar,MDG,2024,46.66,
Malawi,MWI,1961,75.71,
Malawi,MWI,1992,80,
Malawi,MWI,1994,80.54,
Malawi,MWI,1999,93.76,
Malawi,MWI,2004,63.59,
Malawi,MWI,2009,78.28,
Malawi,MWI,2014,70.75,
Malawi,MWI,2019,74.44,
Malawi,MWI,2020,64.81,
Malawi,MWI,2023,,Africa
Malaysia,MYS,1955,82.8,
Malaysia,MYS,1959,73.3,
Malaysia,MYS,1964,78.9,
Malaysia,MYS,1969,73.6,
Malaysia,MYS,1982,72.1,
Malaysia,MYS,1986,74.39,
Malaysia,MYS,1990,70,
Malaysia,MYS,1995,71.8,
Malaysia,MYS,1999,68.65,
Malaysia,MYS,2004,73.9,
Malaysia,MYS,2008,75.99,
Malaysia,MYS,2013,84.84,
Malaysia,MYS,2018,82.32,
Malaysia,MYS,2022,73.89,
Malaysia,MYS,2023,,Asia
Maldives,MDV,1968,99,
Maldives,MDV,1978,87.12,
Maldives,MDV,1989,68.68,
Maldives,MDV,1994,77.4,
Maldives,MDV,1998,76.67,
Maldives,MDV,1999,77.4,
Maldives,MDV,2003,77.46,
Maldives,MDV,2005,71.29,
Maldives,MDV,2008,86.58,
Maldives,MDV,2009,78.87,
Maldives,MDV,2013,91.43,
Maldives,MDV,2014,77.93,
Maldives,MDV,2018,89.22,
Maldives,MDV,2019,75.52,
Maldives,MDV,2023,87.31,Asia
Maldives,MDV,2024,73.91,
Mali,MLI,1957,34,
Mali,MLI,1959,32.3,
Mali,MLI,1964,88.9,
Mali,MLI,1979,97,
Mali,MLI,1982,96,
Mali,MLI,1988,97.8,
Mali,MLI,1992,23.6,
Mali,MLI,1997,28.41,
Mali,MLI,2002,38.57,
Mali,MLI,2007,36.24,
Mali,MLI,2013,48.98,
Mali,MLI,2018,42.7,
Mali,MLI,2020,35.58,
Mali,MLI,2023,,Africa
Malta,MLT,1947,75.44,
Malta,MLT,1950,76.02,
Malta,MLT,1951,74.59,
Malta,MLT,1953,80.37,
Malta,MLT,1955,81.16,
Malta,MLT,1962,90.77,
Malta,MLT,1966,89.71,
Malta,MLT,1971,92.93,
Malta,MLT,1976,95,
Malta,MLT,1981,94.64,
Malta,MLT,1987,96.11,
Malta,MLT,1992,96.04,
Malta,MLT,1996,97.16,
Malta,MLT,1998,95.4,
Malta,MLT,2003,95.7,
Malta,MLT,2008,93.3,
Malta,MLT,2013,92.95,
Malta,MLT,2017,92.06,
Malta,MLT,2022,85.63,
Malta,MLT,2023,,Europe
Marshall Islands,MHL,2023,,Oceania
Martinique,MTQ,2023,,North America
Mauritania,MRT,1957,71.3,
Mauritania,MRT,1959,90.3,
Mauritania,MRT,1961,93.6,
Mauritania,MRT,1965,92.8,
Mauritania,MRT,1966,96.2,
Mauritania,MRT,1971,96.3,
Mauritania,MRT,1975,87.4,
Mauritania,MRT,1976,97.9,
Mauritania,MRT,1992,46.55,
Mauritania,MRT,1996,52.06,
Mauritania,MRT,1997,74.73,
Mauritania,MRT,2001,54.45,
Mauritania,MRT,2003,60.86,
Mauritania,MRT,2006,73.42,
Mauritania,MRT,2007,70.16,
Mauritania,MRT,2009,61.51,
Mauritania,MRT,2013,78.22,
Mauritania,MRT,2014,56.46,
Mauritania,MRT,2018,72.46,
Mauritania,MRT,2019,62.66,
Mauritania,MRT,2023,71.59,Africa
Mauritania,MRT,2024,55.39,
Mauritius,MUS,1967,88.9,
Mauritius,MUS,1976,88,
Mauritius,MUS,1982,90,
Mauritius,MUS,1983,87.04,
Mauritius,MUS,1987,85,
Mauritius,MUS,1991,84.08,
Mauritius,MUS,1995,76.69,
Mauritius,MUS,2000,80.87,
Mauritius,MUS,2005,81.25,
Mauritius,MUS,2010,77.82,
Mauritius,MUS,2014,74.41,
Mauritius,MUS,2019,77.01,
Mauritius,MUS,2024,79.3,
Mauritius,MUS,2023,,Africa
Mayotte,MYT,2023,,Africa
Mexico,MEX,1946,89.75,
Mexico,MEX,1949,72.31,
Mexico,MEX,1952,74.15,
Mexico,MEX,1955,69.24,
Mexico,MEX,1958,70.21,
Mexico,MEX,1961,68.43,
Mexico,MEX,1964,69.33,
Mexico,MEX,1967,62.82,
Mexico,MEX,1970,64.26,
Mexico,MEX,1973,60.3,
Mexico,MEX,1976,64.55,
Mexico,MEX,1979,49.43,
Mexico,MEX,1982,74.84,
Mexico,MEX,1985,51.82,
Mexico,MEX,1988,50.14,
Mexico,MEX,1991,61.11,
Mexico,MEX,1994,78.5,
Mexico,MEX,1997,57.69,
Mexico,MEX,2000,63.96,
Mexico,MEX,2003,61.68,
Mexico,MEX,2006,58.55,
Mexico,MEX,2009,44.61,
Mexico,MEX,2012,63.14,
Mexico,MEX,2015,47.72,
Mexico,MEX,2018,63.21,
Mexico,MEX,2021,52.66,
Mexico,MEX,2024,60.54,
Mexico,MEX,2023,,North America
Micronesia (country),FSM,2023,,Oceania
Moldova,MDA,1917,48.44,
Moldova,MDA,1991,84,
Moldova,MDA,1994,79.31,
Moldova,MDA,1996,71.64,
Moldova,MDA,1998,69.12,
Moldova,MDA,2001,69.96,
Moldova,MDA,2005,64.84,
Moldova,MDA,2009,60.17,
Moldova,MDA,2010,63.37,
Moldova,MDA,2014,55.8,
Moldova,MDA,2016,53.45,
Moldova,MDA,2019,51.98,
Moldova,MDA,2020,55.08,
Moldova,MDA,2021,48.51,
Moldova,MDA,2024,52,
Moldova,MDA,2023,,Europe
Monaco,MCO,2023,,Europe
Mongolia,MNG,1951,99.9,
Mongolia,MNG,1954,100,
Mongolia,MNG,1957,100,
Mongolia,MNG,1960,100,
Mongolia,MNG,1963,100,
Mongolia,MNG,1966,100,
Mongolia,MNG,1969,100,
Mongolia,MNG,1973,100,
Mongolia,MNG,1977,100,
Mongolia,MNG,1981,100,
Mongolia,MNG,1986,100,
Mongolia,MNG,1990,98,
Mongolia,MNG,1992,95.6,
Mongolia,MNG,1993,59.9,
Mongolia,MNG,1996,88.39,
Mongolia,MNG,1997,85.1,
Mongolia,MNG,2000,82.42,
Mongolia,MNG,2001,82.9,
Mongolia,MNG,2004,81.84,
Mongolia,MNG,2005,74.9,
Mongolia,MNG,2008,74.31,
Mongolia,MNG,2009,73.48,
Mongolia,MNG,2012,65.24,
Mongolia,MNG,2013,66.79,
Mongolia,MNG,2016,73.58,
Mongolia,MNG,2017,68.63,
Mongolia,MNG,2020,73.64,
Mongolia,MNG,2021,59.35,
Mongolia,MNG,2024,69.83,
Mongolia,MNG,2023,,Asia
Montenegro,MNE,2002,74.6,
Montenegro,MNE,2003,48.38,
Montenegro,MNE,2006,72.05,
Montenegro,MNE,2008,68.7,
Montenegro,MNE,2009,66.19,
Montenegro,MNE,2012,70.56,
Montenegro,MNE,2013,63.9,
Montenegro,MNE,2016,73.41,
Montenegro,MNE,2018,63.92,
Montenegro,MNE,2020,76.65,
Montenegro,MNE,2023,70.14,Europe
Montserrat,MSR,2023,,North America
Morocco,MAR,1963,71.8,
Morocco,MAR,1970,85.34,
Morocco,MAR,1977,82.36,
Morocco,MAR,1984,67.43,
Morocco,MAR,1993,62.75,
Morocco,MAR,1997,58.3,
Morocco,MAR,2002,51.61,
Morocco,MAR,2007,37,
Morocco,MAR,2011,45.4,
Morocco,MAR,2016,43,
Morocco,MAR,2021,50.18,
Morocco,MAR,2023,,Africa
Mozambique,MOZ,1973,92.1,
Mozambique,MOZ,1994,88.03,
Mozambique,MOZ,1999,69.51,
Mozambique,MOZ,2004,36.42,
Mozambique,MOZ,2009,44.63,
Mozambique,MOZ,2014,48.84,
Mozambique,MOZ,2019,51.41,
Mozambique,MOZ,2024,51.41,
Mozambique,MOZ,2023,,Africa
Myanmar,MMR,1947,49.8,
Myanmar,MMR,1951,18.75,
Myanmar,MMR,1956,51.97,
Myanmar,MMR,1960,66,
Myanmar,MMR,1974,94.6,
Myanmar,MMR,1978,93.3,
Myanmar,MMR,1981,94.6,
Myanmar,MMR,1990,73.33,
Myanmar,MMR,2010,77.26,
Myanmar,MMR,2015,69.75,
Myanmar,MMR,2020,71.89,
Myanmar,MMR,2023,,Asia
Namibia,NAM,1978,80.2,
Namibia,NAM,1989,97.04,
Namibia,NAM,1994,74.18,
Namibia,NAM,1999,62.06,
Namibia,NAM,2004,85.47,
Namibia,NAM,2014,71.76,
Namibia,NAM,2019,60.38,
Namibia,NAM,2024,76.86,
Namibia,NAM,2023,,Africa
Nauru,NRU,2023,,Oceania
Nepal,NPL,1959,42.19,
Nepal,NPL,1981,52.3,
Nepal,NPL,1986,60.31,
Nepal,NPL,1991,88.13,
Nepal,NPL,1994,86.74,
Nepal,NPL,1999,65.79,
Nepal,NPL,2008,63.29,
Nepal,NPL,2013,78.34,
Nepal,NPL,2017,68.67,
Nepal,NPL,2022,61.35,
Nepal,NPL,2023,,Asia
Netherlands,NLD,1848,80.4,
Netherlands,NLD,1850,67.6,
Netherlands,NLD,1852,48.3,
Netherlands,NLD,1853,71,
Netherlands,NLD,1854,50.7,
Netherlands,NLD,1856,48.7,
Netherlands,NLD,1858,41.9,
Netherlands,NLD,1860,41.1,
Netherlands,NLD,1862,42.2,
Netherlands,NLD,1864,52.4,
Netherlands,NLD,1866,73.9,
Netherlands,NLD,1868,65.5,
Netherlands,NLD,1869,67.4,
Netherlands,NLD,1871,60.2,
Netherlands,NLD,1873,61.1,
Netherlands,NLD,1875,66.3,
Netherlands,NLD,1877,56.6,
Netherlands,NLD,1879,57.5,
Netherlands,NLD,1881,58.2,
Netherlands,NLD,1883,62.1,
Netherlands,NLD,1884,69.1,
Netherlands,NLD,1886,75.6,
Netherlands,NLD,1887,55.1,
Netherlands,NLD,1888,81.7,
Netherlands,NLD,1891,71.6,
Netherlands,NLD,1894,57.2,
Netherlands,NLD,1897,78,
Netherlands,NLD,1925,91.4,
Netherlands,NLD,1929,92.7,
Netherlands,NLD,1933,94.5,
Netherlands,NLD,1937,94.4,
Netherlands,NLD,1946,93.12,
Netherlands,NLD,1948,93.67,
Netherlands,NLD,1952,94.98,
Netherlands,NLD,1956,95.5,
Netherlands,NLD,1959,95.57,
Netherlands,NLD,1963,95.13,
Netherlands,NLD,1967,94.95,
Netherlands,NLD,1971,79.08,
Netherlands,NLD,1972,83.5,
Netherlands,NLD,1977,88,
Netherlands,NLD,1981,87.03,
Netherlands,NLD,1982,80.98,
Netherlands,NLD,1986,85.76,
Netherlands,NLD,1989,80.27,
Netherlands,NLD,1994,78.75,
Netherlands,NLD,1998,73.23,
Netherlands,NLD,2002,79.06,
Netherlands,NLD,2003,80.04,
Netherlands,NLD,2006,80.35,
Netherlands,NLD,2010,75.4,
Netherlands,NLD,2012,74.56,
Netherlands,NLD,2017,81.93,
Netherlands,NLD,2021,78.71,
Netherlands,NLD,2023,77.74,Europe
Netherlands Antilles,ANT,2023,,North America
New Caledonia,NCL,2023,,Oceania
New Zealand,NZL,1879,66.5,
New Zealand,NZL,1881,66.5,
New Zealand,NZL,1884,60.6,
New Zealand,NZL,1887,67.1,
New Zealand,NZL,1890,80.4,
New Zealand,NZL,1893,75.3,
New Zealand,NZL,1896,76.1,
New Zealand,NZL,1899,77.6,
New Zealand,NZL,1902,76.7,
New Zealand,NZL,1905,83.3,
New Zealand,NZL,1908,79.8,
New Zealand,NZL,1911,83.5,
New Zealand,NZL,1914,84.7,
New Zealand,NZL,1919,80.5,
New Zealand,NZL,1922,87.7,
New Zealand,NZL,1925,90.02,
New Zealand,NZL,1928,88.01,
New Zealand,NZL,1931,83.3,
New Zealand,NZL,1935,90.75,
New Zealand,NZL,1938,92.9,
New Zealand,NZL,1946,97.6,
New Zealand,NZL,1949,97.01,
New Zealand,NZL,1951,96.21,
New Zealand,NZL,1954,94.57,
New Zealand,NZL,1957,93.44,
New Zealand,NZL,1960,90.26,
New Zealand,NZL,1963,89.56,
New Zealand,NZL,1966,86.6,
New Zealand,NZL,1969,89.88,
New Zealand,NZL,1972,89.83,
New Zealand,NZL,1975,83.17,
New Zealand,NZL,1978,84.9,
New Zealand,NZL,1981,91.44,
New Zealand,NZL,1984,93.71,
New Zealand,NZL,1987,89.06,
New Zealand,NZL,1990,85.24,
New Zealand,NZL,1993,85.2,
New Zealand,NZL,1996,88.28,
New Zealand,NZL,1999,84.77,
New Zealand,NZL,2002,76.98,
New Zealand,NZL,2005,80.29,
New Zealand,NZL,2008,79.46,
New Zealand,NZL,2011,74.21,
New Zealand,NZL,2014,76.95,
New Zealand,NZL,2017,79.75,
New Zealand,NZL,2020,82.24,
New Zealand,NZL,2023,78.2,Oceania
Nicaragua,NIC,1963,79.13,
Nicaragua,NIC,1972,73.04,
Nicaragua,NIC,1974,69.43,
Nicaragua,NIC,1990,86.23,
Nicaragua,NIC,1996,76.39,
Nicaragua,NIC,2001,74.91,
Nicaragua,NIC,2006,61.23,
Nicaragua,NIC,2011,79.09,
Nicaragua,NIC,2016,65.6,
Nicaragua,NIC,2021,66.24,
Nicaragua,NIC,2023,,North America
Niger,NER,1993,35.22,
Niger,NER,1995,34.97,
Niger,NER,1996,64.1,
Niger,NER,1999,39.4,
Niger,NER,2004,48.25,
Niger,NER,2009,51.27,
Niger,NER,2011,50.4,
Niger,NER,2016,66.27,
Niger,NER,2020,69.67,
Niger,NER,2021,62.91,
Niger,NER,2023,,Africa
Nigeria,NGA,1959,79.52,
Nigeria,NGA,1979,35.25,
Nigeria,NGA,1983,38.9,
Nigeria,NGA,1992,25,
Nigeria,NGA,1999,52.26,
Nigeria,NGA,2003,69.08,
Nigeria,NGA,2007,57.49,
Nigeria,NGA,2011,53.68,
Nigeria,NGA,2015,43.7,
Nigeria,NGA,2019,34.75,
Nigeria,NGA,2023,26.71,Africa
Niue,NIU,2023,,Oceania
Norfolk Island,NFK,2023,,Oceania
North America,,1842,62.1,
North America,,1844,74.5,
North America,,1846,58.9,
North America,,1848,67.3,
North America,,1850,56.6,
North America,,1852,63.2,
North America,,1854,60.2,
North America,,1856,70.9,
North America,,1858,62.1,
North America,,1860,72.1,
North America,,1862,56.3,
North America,,1864,66.2,
North America,,1866,62.4,
North America,,1867,73.1,
North America,,1868,71.8,
North America,,1870,66.8,
North America,,1872,71.25,
North America,,1874,67.15,
North America,,1876,82.9,
North America,,1878,67.2,
North America,,1880,79.3,
North America,,1882,68.2,
North America,,1884,78.8,
North America,,1886,64,
North America,,1887,70.1,
North America,,1888,79.9,
North America,,1890,64.9,
North America,,1891,64.4,
North America,,1892,76.25,
North America,,1894,67.4,
North America,,1896,75.5,
North America,,1898,60,
North America,,1900,77.4,
North America,,1904,71.6,
North America,,1905,74,
North America,,1908,70.65,
North America,,1910,68.7,
North America,,1913,73.58,
North America,,1917,69.2,
North America,,1919,57.8,
North America,,1921,67.7,
North America,,1923,70.5,
North America,,1928,62.5,
North America,,1930,73.5,
North America,,1932,64.2,
